,Caption,tokenized,freqdist,tokens_WSW,normalized,tokens_stemmed,merged
76,kenapa ga kunjung naik krn anis gapunya lembaga survey udahlah jgn kalian pusing mau di pihak pro kontra intinya jgn munafik lah gausa sok naif bikin alasan ini itu dr jaman anis di pilgub pun survei litbang anis selalu ke kok tapi realita nya menang kan inget arteria dahlan keceplosan kl lembaga survey dibayar,"['kenapa', 'ga', 'kunjung', 'naik', 'krn', 'anis', 'gapunya', 'lembaga', 'survey', 'udahlah', 'jgn', 'kalian', 'pusing', 'mau', 'di', 'pihak', 'pro', 'kontra', 'intinya', 'jgn', 'munafik', 'lah', 'gausa', 'sok', 'naif', 'bikin', 'alasan', 'ini', 'itu', 'dr', 'jaman', 'anis', 'di', 'pilgub', 'pun', 'survei', 'litbang', 'anis', 'selalu', 'ke', 'kok', 'tapi', 'realita', 'nya', 'menang', 'kan', 'inget', 'arteria', 'dahlan', 'keceplosan', 'kl', 'lembaga', 'survey', 'dibayar']",<FreqDist with 48 samples and 54 outcomes>,"['kunjung', 'anis', 'gapunya', 'lembaga', 'survey', 'udahlah', 'pusing', 'pro', 'kontra', 'intinya', 'munafik', 'gausa', 'sok', 'naif', 'alasan', 'dr', 'jaman', 'anis', 'pilgub', 'survei', 'litbang', 'anis', 'realita', 'menang', 'inget', 'arteria', 'dahlan', 'keceplosan', 'kl', 'lembaga', 'survey', 'dibayar']","['kunjung', 'anies', 'gapunya', 'lembaga', 'survey', 'udahlah', 'pusing', 'pro', 'kontra', 'intinya', 'munafik', 'gausa', 'sok', 'naif', 'alasan', 'dari', 'jaman', 'anies', 'pilgub', 'survei', 'litbang', 'anies', 'realita', 'menang', 'inget', 'arteria', 'dahlan', 'keceplosan', 'kl', 'lembaga', 'survey', 'dibayar']","['kunjung', 'anies', 'gapunya', 'lembaga', 'survey', 'udahlah', 'pusing', 'pro', 'kontra', 'inti', 'munafik', 'gausa', 'sok', 'naif', 'alas', 'dari', 'jaman', 'anies', 'pilgub', 'survei', 'litbang', 'anies', 'realita', 'menang', 'inget', 'arteria', 'dahlan', 'ceplos', 'kl', 'lembaga', 'survey', 'bayar']",kunjung anies gapunya lembaga survey udahlah pusing pro kontra inti munafik gausa sok naif alas dari jaman anies pilgub survei litbang anies realita menang inget arteria dahlan ceplos kl lembaga survey bayar
77,insya allah pak anies presiden ini akun bayaran dan survei bayaran,"['insya', 'allah', 'pak', 'anies', 'presiden', 'ini', 'akun', 'bayaran', 'dan', 'survei', 'bayaran']",<FreqDist with 10 samples and 11 outcomes>,"['insya', 'allah', 'anies', 'presiden', 'akun', 'bayaran', 'survei', 'bayaran']","['insya', 'allah', 'anies', 'presiden', 'akun', 'bayaran', 'survei', 'bayaran']","['insya', 'allah', 'anies', 'presiden', 'akun', 'bayar', 'survei', 'bayar']",insya allah anies presiden akun bayar survei bayar
78,yuk survey kecilan bandingin sama survey halu yang pilih pemimpin cerdas anies baswedan senggol donk,"['yuk', 'survey', 'kecilan', 'bandingin', 'sama', 'survey', 'halu', 'yang', 'pilih', 'pemimpin', 'cerdas', 'anies', 'baswedan', 'senggol', 'donk']",<FreqDist with 14 samples and 15 outcomes>,"['yuk', 'survey', 'kecilan', 'bandingin', 'survey', 'halu', 'pilih', 'pemimpin', 'cerdas', 'anies', 'baswedan', 'senggol', 'donk']","['yuk', 'survey', 'kecilan', 'bandingin', 'survey', 'halu', 'pilih', 'pemimpin', 'cerdas', 'anies', 'baswedan', 'senggol', 'donk']","['yuk', 'survey', 'kecil', 'bandingin', 'survey', 'halu', 'pilih', 'pimpin', 'cerdas', 'anies', 'baswedan', 'senggol', 'donk']",yuk survey kecil bandingin survey halu pilih pimpin cerdas anies baswedan senggol donk
79,kasihan bangsa ini bukan program strategis apa yang mau ditawarkan tapi malah diskusikan hasil survei,"['kasihan', 'bangsa', 'ini', 'bukan', 'program', 'strategis', 'apa', 'yang', 'mau', 'ditawarkan', 'tapi', 'malah', 'diskusikan', 'hasil', 'survei']",<FreqDist with 15 samples and 15 outcomes>,"['kasihan', 'bangsa', 'program', 'strategis', 'ditawarkan', 'diskusikan', 'hasil', 'survei']","['kasihan', 'bangsa', 'program', 'strategis', 'ditawarkan', 'diskusikan', 'hasil', 'survei']","['kasihan', 'bangsa', 'program', 'strategis', 'tawar', 'diskusi', 'hasil', 'survei']",kasihan bangsa program strategis tawar diskusi hasil survei
80,dibayar brp lu,"['dibayar', 'brp', 'lu']",<FreqDist with 3 samples and 3 outcomes>,"['dibayar', 'brp', 'lu']","['dibayar', 'brp', 'kamu']","['bayar', 'brp', 'kamu']",bayar brp kamu
81,bukan gak naik tapi emang itu udah full kapasitasnya yah segitu ajah,"['bukan', 'gak', 'naik', 'tapi', 'emang', 'itu', 'udah', 'full', 'kapasitasnya', 'yah', 'segitu', 'ajah']",<FreqDist with 12 samples and 12 outcomes>,"['emang', 'udah', 'full', 'kapasitasnya', 'segitu', 'ajah']","['emang', 'udah', 'full', 'kapasitasnya', 'segitu', 'ajah']","['emang', 'udah', 'full', 'kapasitas', 'segitu', 'ajah']",emang udah full kapasitas segitu ajah
82,ohhhhhh saya salah masuk ternyata saya masuk ke kandang banteng,"['ohhhhhh', 'saya', 'salah', 'masuk', 'ternyata', 'saya', 'masuk', 'ke', 'kandang', 'banteng']",<FreqDist with 8 samples and 10 outcomes>,"['ohhhhhh', 'salah', 'masuk', 'masuk', 'kandang', 'banteng']","['ohhhhhh', 'salah', 'masuk', 'masuk', 'kandang', 'banteng']","['ohhhhhh', 'salah', 'masuk', 'masuk', 'kandang', 'banteng']",ohhhhhh salah masuk masuk kandang banteng
83,karena inilah indonesia yang sesungguhnya bukan spti jakarta yang mungkin bisa dimobilisasi,"['karena', 'inilah', 'indonesia', 'yang', 'sesungguhnya', 'bukan', 'spti', 'jakarta', 'yang', 'mungkin', 'bisa', 'dimobilisasi']",<FreqDist with 11 samples and 12 outcomes>,"['indonesia', 'sesungguhnya', 'spti', 'jakarta', 'dimobilisasi']","['indonesia', 'sesungguhnya', 'spti', 'jakarta', 'dimobilisasi']","['indonesia', 'sungguh', 'spti', 'jakarta', 'mobilisasi']",indonesia sungguh spti jakarta mobilisasi
84,dulu litbang kompas juga menempatkan anies sandi di posisi ketiga tapi nyatanya menang jadi gubernur dki sekarang diulang lagi bikin survei menempatkan anies urutan ketiga tapi yang lebih lucunya banyak keledai yang percaya,"['dulu', 'litbang', 'kompas', 'juga', 'menempatkan', 'anies', 'sandi', 'di', 'posisi', 'ketiga', 'tapi', 'nyatanya', 'menang', 'jadi', 'gubernur', 'dki', 'sekarang', 'diulang', 'lagi', 'bikin', 'survei', 'menempatkan', 'anies', 'urutan', 'ketiga', 'tapi', 'yang', 'lebih', 'lucunya', 'banyak', 'keledai', 'yang', 'percaya']",<FreqDist with 28 samples and 33 outcomes>,"['litbang', 'kompas', 'menempatkan', 'anies', 'sandi', 'posisi', 'ketiga', 'menang', 'gubernur', 'dki', 'diulang', 'survei', 'menempatkan', 'anies', 'urutan', 'ketiga', 'lucunya', 'keledai', 'percaya']","['litbang', 'kompas', 'menempatkan', 'anies', 'sandi', 'posisi', 'ketiga', 'menang', 'gubernur', 'dki', 'diulang', 'survei', 'menempatkan', 'anies', 'urutan', 'ketiga', 'lucunya', 'keledai', 'percaya']","['litbang', 'kompas', 'tempat', 'anies', 'sandi', 'posisi', 'tiga', 'menang', 'gubernur', 'dki', 'ulang', 'survei', 'tempat', 'anies', 'urut', 'tiga', 'lucu', 'keledai', 'percaya']",litbang kompas tempat anies sandi posisi tiga menang gubernur dki ulang survei tempat anies urut tiga lucu keledai percaya
85,survey hanya dimenangkan oleh siapa yg membayarnya,"['survey', 'hanya', 'dimenangkan', 'oleh', 'siapa', 'yg', 'membayarnya']",<FreqDist with 7 samples and 7 outcomes>,"['survey', 'dimenangkan', 'membayarnya']","['survey', 'dimenangkan', 'membayarnya']","['survey', 'menang', 'bayar']",survey menang bayar
86,ditengah masyarakat yg gak begitu suka baca dan lebih tertarik dengan hal visual ganjar dan prabowo lebih ahlinya sedikit membicarakan data jaranga mengkritiki tapi lebih sering tampil di media mau beritanya buruk atau baik atau biasa aja jumlah mereka muncul di media nasional lebih banyak dari anies,"['ditengah', 'masyarakat', 'yg', 'gak', 'begitu', 'suka', 'baca', 'dan', 'lebih', 'tertarik', 'dengan', 'hal', 'visual', 'ganjar', 'dan', 'prabowo', 'lebih', 'ahlinya', 'sedikit', 'membicarakan', 'data', 'jaranga', 'mengkritiki', 'tapi', 'lebih', 'sering', 'tampil', 'di', 'media', 'mau', 'beritanya', 'buruk', 'atau', 'baik', 'atau', 'biasa', 'aja', 'jumlah', 'mereka', 'muncul', 'di', 'media', 'nasional', 'lebih', 'banyak', 'dari', 'anies']",<FreqDist with 40 samples and 47 outcomes>,"['ditengah', 'masyarakat', 'suka', 'baca', 'tertarik', 'visual', 'ganjar', 'prabowo', 'ahlinya', 'membicarakan', 'data', 'jaranga', 'mengkritiki', 'tampil', 'media', 'beritanya', 'buruk', 'muncul', 'media', 'nasional', 'anies']","['ditengah', 'masyarakat', 'suka', 'baca', 'tertarik', 'visual', 'ganjar', 'prabowo', 'ahlinya', 'membicarakan', 'data', 'jaranga', 'mengkritiki', 'tampil', 'media', 'beritanya', 'buruk', 'muncul', 'media', 'nasional', 'anies']","['tengah', 'masyarakat', 'suka', 'baca', 'tarik', 'visual', 'ganjar', 'prabowo', 'ahli', 'bicara', 'data', 'jaranga', 'kritik', 'tampil', 'media', 'berita', 'buruk', 'muncul', 'media', 'nasional', 'anies']",tengah masyarakat suka baca tarik visual ganjar prabowo ahli bicara data jaranga kritik tampil media berita buruk muncul media nasional anies
87,anies kesono kemarih cuma bisa ngeritik doang bro tapi ngga ada dagangan yang bisa di jual apalagi di terima calon konsumen nya cuma bisa merangkai kata kata doang udah gitu di usung nasdem yang lagi pajiret benang kusut kader nya terindikasi korup balik kanan teratur aja wan anies,"['anies', 'kesono', 'kemarih', 'cuma', 'bisa', 'ngeritik', 'doang', 'bro', 'tapi', 'ngga', 'ada', 'dagangan', 'yang', 'bisa', 'di', 'jual', 'apalagi', 'di', 'terima', 'calon', 'konsumen', 'nya', 'cuma', 'bisa', 'merangkai', 'kata', 'kata', 'doang', 'udah', 'gitu', 'di', 'usung', 'nasdem', 'yang', 'lagi', 'pajiret', 'benang', 'kusut', 'kader', 'nya', 'terindikasi', 'korup', 'balik', 'kanan', 'teratur', 'aja', 'wan', 'anies']",<FreqDist with 38 samples and 48 outcomes>,"['anies', 'kesono', 'kemarih', 'ngeritik', 'doang', 'bro', 'ngga', 'dagangan', 'jual', 'terima', 'calon', 'konsumen', 'merangkai', 'doang', 'udah', 'gitu', 'usung', 'nasdem', 'pajiret', 'benang', 'kusut', 'kader', 'terindikasi', 'korup', 'kanan', 'teratur', 'wan', 'anies']","['anies', 'kesono', 'kemarih', 'ngeritik', 'doang', 'bro', 'ngga', 'dagangan', 'jual', 'terima', 'calon', 'konsumen', 'merangkai', 'doang', 'udah', 'gitu', 'usung', 'nasdem', 'pajiret', 'benang', 'kusut', 'kader', 'terindikasi', 'korup', 'kanan', 'teratur', 'wan', 'anies']","['anies', 'sono', 'kemarih', 'ngeritik', 'doang', 'bro', 'ngga', 'dagang', 'jual', 'terima', 'calon', 'konsumen', 'rangkai', 'doang', 'udah', 'gitu', 'usung', 'nasdem', 'pajiret', 'benang', 'kusut', 'kader', 'indikasi', 'korup', 'kanan', 'atur', 'wan', 'anies']",anies sono kemarih ngeritik doang bro ngga dagang jual terima calon konsumen rangkai doang udah gitu usung nasdem pajiret benang kusut kader indikasi korup kanan atur wan anies
88,posisi tp masih dijegal trus ya pak aniesapa sebaliknya ya posisi itu posisi,"['posisi', 'tp', 'masih', 'dijegal', 'trus', 'ya', 'pak', 'aniesapa', 'sebaliknya', 'ya', 'posisi', 'itu', 'posisi']",<FreqDist with 10 samples and 13 outcomes>,"['posisi', 'tp', 'dijegal', 'trus', 'aniesapa', 'posisi', 'posisi']","['posisi', 'tetapi', 'dijegal', 'trus', 'aniesapa', 'posisi', 'posisi']","['posisi', 'tetapi', 'jegal', 'trus', 'aniesapa', 'posisi', 'posisi']",posisi tetapi jegal trus aniesapa posisi posisi
89,kenapa karena doi gapunya lembaga survey,"['kenapa', 'karena', 'doi', 'gapunya', 'lembaga', 'survey']",<FreqDist with 6 samples and 6 outcomes>,"['doi', 'gapunya', 'lembaga', 'survey']","['dia', 'gapunya', 'lembaga', 'survey']","['dia', 'gapunya', 'lembaga', 'survey']",dia gapunya lembaga survey
90,pake nanya,"['pake', 'nanya']",<FreqDist with 2 samples and 2 outcomes>,"['pake', 'nanya']","['pake', 'nanya']","['pake', 'nanya']",pake nanya
91,percaya saja biar senengheee,"['percaya', 'saja', 'biar', 'senengheee']",<FreqDist with 4 samples and 4 outcomes>,"['percaya', 'senengheee']","['percaya', 'senengheee']","['percaya', 'senengheee']",percaya senengheee
92,apa yg mau diharapkan dr nganies,"['apa', 'yg', 'mau', 'diharapkan', 'dr', 'nganies']",<FreqDist with 6 samples and 6 outcomes>,"['diharapkan', 'dr', 'nganies']","['diharapkan', 'dari', 'nganies']","['harap', 'dari', 'nganies']",harap dari nganies
93,yg survey kompas which is super reliable yg komplen org kampungan gk jelas,"['yg', 'survey', 'kompas', 'which', 'is', 'super', 'reliable', 'yg', 'komplen', 'org', 'kampungan', 'gk', 'jelas']",<FreqDist with 12 samples and 13 outcomes>,"['survey', 'kompas', 'which', 'is', 'super', 'reliable', 'komplen', 'org', 'kampungan', 'gk']","['survey', 'kompas', 'which', 'is', 'super', 'reliable', 'komplen', 'org', 'kampungan', 'gk']","['survey', 'kompas', 'which', 'is', 'super', 'reliable', 'komplen', 'org', 'kampung', 'gk']",survey kompas which is super reliable komplen org kampung gk
94,lah kerjanya apaan emg,"['lah', 'kerjanya', 'apaan', 'emg']",<FreqDist with 4 samples and 4 outcomes>,"['kerjanya', 'emg']","['kerjanya', 'memang']","['kerja', 'memang']",kerja memang
95,respondennya cuman an itupun  ambil dari orng partai juga,"['respondennya', 'cuman', 'an', 'itupun', 'ambil', 'dari', 'orng', 'partai', 'juga']",<FreqDist with 9 samples and 9 outcomes>,"['respondennya', 'cuman', 'an', 'itupun', 'ambil', 'orng', 'partai']","['respondennya', 'cuman', 'an', 'itupun', 'ambil', 'orng', 'partai']","['responden', 'cuman', 'an', 'itu', 'ambil', 'orng', 'partai']",responden cuman an itu ambil orng partai
96,ayolah gua udh bet anis presiden  masa kalah jonn malu anzai,"['ayolah', 'gua', 'udh', 'bet', 'anis', 'presiden', 'masa', 'kalah', 'jonn', 'malu', 'anzai']",<FreqDist with 11 samples and 11 outcomes>,"['ayolah', 'gua', 'udh', 'bet', 'anis', 'presiden', 'kalah', 'jonn', 'malu', 'anzai']","['ayolah', 'saya', 'udh', 'bet', 'anies', 'presiden', 'kalah', 'jonn', 'malu', 'anzai']","['ayo', 'saya', 'udh', 'bet', 'anies', 'presiden', 'kalah', 'jonn', 'malu', 'anzai']",ayo saya udh bet anies presiden kalah jonn malu anzai
97,kalau selalu diposisi ke kenapa pada ketakutan sama anies,"['kalau', 'selalu', 'diposisi', 'ke', 'kenapa', 'pada', 'ketakutan', 'sama', 'anies']",<FreqDist with 9 samples and 9 outcomes>,"['diposisi', 'ketakutan', 'anies']","['diposisi', 'ketakutan', 'anies']","['posisi', 'takut', 'anies']",posisi takut anies
98, aja soalnya,"['aja', 'soalnya']",<FreqDist with 2 samples and 2 outcomes>,[],[],[],
99,terlepas dari kebenaran data upaya kritik infrastrukturnya terlalu berani rakyat ga banyak yg peduli data brandingnya pak jokowi ya bapak infrastruktur brarti infrastrukturnya bagus rakyat masih blum siap materi adu data dan kinerja boring gan,"['terlepas', 'dari', 'kebenaran', 'data', 'upaya', 'kritik', 'infrastrukturnya', 'terlalu', 'berani', 'rakyat', 'ga', 'banyak', 'yg', 'peduli', 'data', 'brandingnya', 'pak', 'jokowi', 'ya', 'bapak', 'infrastruktur', 'brarti', 'infrastrukturnya', 'bagus', 'rakyat', 'masih', 'blum', 'siap', 'materi', 'adu', 'data', 'dan', 'kinerja', 'boring', 'gan']",<FreqDist with 31 samples and 35 outcomes>,"['terlepas', 'kebenaran', 'data', 'upaya', 'kritik', 'infrastrukturnya', 'berani', 'rakyat', 'peduli', 'data', 'brandingnya', 'jokowi', 'infrastruktur', 'brarti', 'infrastrukturnya', 'bagus', 'rakyat', 'blum', 'materi', 'adu', 'data', 'kinerja', 'boring', 'gan']","['terlepas', 'kebenaran', 'data', 'upaya', 'kritik', 'infrastrukturnya', 'berani', 'rakyat', 'peduli', 'data', 'brandingnya', 'jokowi', 'infrastruktur', 'brarti', 'infrastrukturnya', 'bagus', 'rakyat', 'blum', 'materi', 'adu', 'data', 'kinerja', 'boring', 'gan']","['lepas', 'benar', 'data', 'upaya', 'kritik', 'infrastruktur', 'berani', 'rakyat', 'peduli', 'data', 'brandingnya', 'jokowi', 'infrastruktur', 'brarti', 'infrastruktur', 'bagus', 'rakyat', 'blum', 'materi', 'adu', 'data', 'kerja', 'boring', 'gan']",lepas benar data upaya kritik infrastruktur berani rakyat peduli data brandingnya jokowi infrastruktur brarti infrastruktur bagus rakyat blum materi adu data kerja boring gan
100,namanya jg media pendukung ganjar,"['namanya', 'jg', 'media', 'pendukung', 'ganjar']",<FreqDist with 5 samples and 5 outcomes>,"['namanya', 'media', 'pendukung', 'ganjar']","['namanya', 'media', 'pendukung', 'ganjar']","['nama', 'media', 'dukung', 'ganjar']",nama media dukung ganjar
101,tetap official for presiden,"['tetap', 'official', 'for', 'presiden']",<FreqDist with 4 samples and 4 outcomes>,"['official', 'for', 'presiden']","['official', 'for', 'presiden']","['official', 'for', 'presiden']",official for presiden
102,posisi buncit tpi di jegal trusss aneh,"['posisi', 'buncit', 'tpi', 'di', 'jegal', 'trusss', 'aneh']",<FreqDist with 7 samples and 7 outcomes>,"['posisi', 'buncit', 'tpi', 'jegal', 'trusss', 'aneh']","['posisi', 'buncit', 'tetapi', 'jegal', 'trusss', 'aneh']","['posisi', 'buncit', 'tetapi', 'jegal', 'trusss', 'aneh']",posisi buncit tetapi jegal trusss aneh
103,sabar pak anis pendukungnya belum tampil tunggu waktu masih lama bulan feb biarkan mereka sibuk mengatur strategi kalo memang takdir gak kemana,"['sabar', 'pak', 'anis', 'pendukungnya', 'belum', 'tampil', 'tunggu', 'waktu', 'masih', 'lama', 'bulan', 'feb', 'biarkan', 'mereka', 'sibuk', 'mengatur', 'strategi', 'kalo', 'memang', 'takdir', 'gak', 'kemana']",<FreqDist with 22 samples and 22 outcomes>,"['sabar', 'anis', 'pendukungnya', 'tampil', 'tunggu', 'feb', 'biarkan', 'sibuk', 'mengatur', 'strategi', 'takdir', 'kemana']","['sabar', 'anies', 'pendukungnya', 'tampil', 'tunggu', 'feb', 'biarkan', 'sibuk', 'mengatur', 'strategi', 'takdir', 'kemana']","['sabar', 'anies', 'dukung', 'tampil', 'tunggu', 'feb', 'biar', 'sibuk', 'atur', 'strategi', 'takdir', 'mana']",sabar anies dukung tampil tunggu feb biar sibuk atur strategi takdir mana
104,sudah mentok,"['sudah', 'mentok']",<FreqDist with 2 samples and 2 outcomes>,['mentok'],['mentok'],['mentok'],mentok
105,kenapa woii pada takut anies jadi president,"['kenapa', 'woii', 'pada', 'takut', 'anies', 'jadi', 'president']",<FreqDist with 7 samples and 7 outcomes>,"['woii', 'takut', 'anies', 'president']","['woii', 'takut', 'anies', 'president']","['woii', 'takut', 'anies', 'president']",woii takut anies president
106,asumsi yaa ganjar,"['asumsi', 'yaa', 'ganjar']",<FreqDist with 3 samples and 3 outcomes>,"['asumsi', 'yaa', 'ganjar']","['asumsi', 'yaa', 'ganjar']","['asumsi', 'yaa', 'ganjar']",asumsi yaa ganjar
107,hehehe pasi fansnya bilang dijega media ganjar media jokowi banyak banget pembelaannya,"['hehehe', 'pasi', 'fansnya', 'bilang', 'dijega', 'media', 'ganjar', 'media', 'jokowi', 'banyak', 'banget', 'pembelaannya']",<FreqDist with 11 samples and 12 outcomes>,"['hehehe', 'pasi', 'fansnya', 'dijega', 'media', 'ganjar', 'media', 'jokowi', 'banget', 'pembelaannya']","['hehehe', 'pasi', 'fansnya', 'dijega', 'media', 'ganjar', 'media', 'jokowi', 'banget', 'pembelaannya']","['hehehe', 'pasi', 'fansnya', 'dijega', 'media', 'ganjar', 'media', 'jokowi', 'banget', 'bela']",hehehe pasi fansnya dijega media ganjar media jokowi banget bela
108,gw kagak bakal milih ganjar ya sorry,"['gw', 'kagak', 'bakal', 'milih', 'ganjar', 'ya', 'sorry']",<FreqDist with 7 samples and 7 outcomes>,"['gw', 'kagak', 'milih', 'ganjar', 'sorry']","['saya', 'kagak', 'milih', 'ganjar', 'sorry']","['saya', 'kagak', 'milih', 'ganjar', 'sorry']",saya kagak milih ganjar sorry
109,kenapa yah hasil survei selalu di bawah ke tp klo di itung setiap postingan manapunselalu yg komen itu bnyak dukung anisapakah netizen ini ga bisa di lihat sebagai sempel,"['kenapa', 'yah', 'hasil', 'survei', 'selalu', 'di', 'bawah', 'ke', 'tp', 'klo', 'di', 'itung', 'setiap', 'postingan', 'manapunselalu', 'yg', 'komen', 'itu', 'bnyak', 'dukung', 'anisapakah', 'netizen', 'ini', 'ga', 'bisa', 'di', 'lihat', 'sebagai', 'sempel']",<FreqDist with 27 samples and 29 outcomes>,"['hasil', 'survei', 'tp', 'itung', 'postingan', 'manapunselalu', 'komen', 'bnyak', 'dukung', 'anisapakah', 'netizen', 'lihat', 'sempel']","['hasil', 'survei', 'tetapi', 'itung', 'postingan', 'manapunselalu', 'komen', 'bnyak', 'dukung', 'anisapakah', 'netizen', 'lihat', 'sempel']","['hasil', 'survei', 'tetapi', 'itung', 'postingan', 'manapunselalu', 'komen', 'bnyak', 'dukung', 'anisapakah', 'netizen', 'lihat', 'sempel']",hasil survei tetapi itung postingan manapunselalu komen bnyak dukung anisapakah netizen lihat sempel
110,berdiam bukan berarti kalah ya,"['berdiam', 'bukan', 'berarti', 'kalah', 'ya']",<FreqDist with 5 samples and 5 outcomes>,"['berdiam', 'kalah']","['berdiam', 'kalah']","['diam', 'kalah']",diam kalah
111,jujur ya soal kinerja gua lebih milih di pimpin sama ahok tpi disisi lain ya gitu dah sulit dimengerti,"['jujur', 'ya', 'soal', 'kinerja', 'gua', 'lebih', 'milih', 'di', 'pimpin', 'sama', 'ahok', 'tpi', 'disisi', 'lain', 'ya', 'gitu', 'dah', 'sulit', 'dimengerti']",<FreqDist with 18 samples and 19 outcomes>,"['jujur', 'kinerja', 'gua', 'milih', 'pimpin', 'ahok', 'tpi', 'disisi', 'gitu', 'dah', 'sulit', 'dimengerti']","['jujur', 'kinerja', 'saya', 'milih', 'pimpin', 'ahok', 'tetapi', 'disisi', 'gitu', 'dah', 'sulit', 'dimengerti']","['jujur', 'kerja', 'saya', 'milih', 'pimpin', 'ahok', 'tetapi', 'sisi', 'gitu', 'dah', 'sulit', 'erti']",jujur kerja saya milih pimpin ahok tetapi sisi gitu dah sulit erti
112,ngak penting survenan surve bisa di atur pesananbuktikan siapa saja boleh jadi presiden,"['ngak', 'penting', 'survenan', 'surve', 'bisa', 'di', 'atur', 'pesananbuktikan', 'siapa', 'saja', 'boleh', 'jadi', 'presiden']",<FreqDist with 13 samples and 13 outcomes>,"['ngak', 'survenan', 'surve', 'atur', 'pesananbuktikan', 'presiden']","['ngak', 'survenan', 'surve', 'atur', 'pesananbuktikan', 'presiden']","['ngak', 'survenan', 'surve', 'atur', 'pesananbuktikan', 'presiden']",ngak survenan surve atur pesananbuktikan presiden
113,lolo gabahaya ta,"['lolo', 'gabahaya', 'ta']",<FreqDist with 3 samples and 3 outcomes>,"['lolo', 'gabahaya', 'ta']","['lolo', 'gabahaya', 'ta']","['lolo', 'gabahaya', 'ta']",lolo gabahaya ta
114,insyaallah pak anis ri,"['insyaallah', 'pak', 'anis', 'ri']",<FreqDist with 4 samples and 4 outcomes>,"['insyaallah', 'anis', 'ri']","['insyaallah', 'anies', 'ri']","['insyaallah', 'anies', 'ri']",insyaallah anies ri
115,cuma mau mengingatkan anies baswedan berpesan kalau pilih pemimpin itu liat rekam jejaknya mungkin beliau bermaksud kalau mendukung beliau kelompok radikal seperti hti fpi dan ideologis khilafah bisa di bangkitkan kembali dan akan diperlihara oleh beliau termasuk pentolan nya seperti habib riziek bahar smith dll yg akan menjadi kebal hukum kalau anies baswedan seandainya jadi calon presiden,"['cuma', 'mau', 'mengingatkan', 'anies', 'baswedan', 'berpesan', 'kalau', 'pilih', 'pemimpin', 'itu', 'liat', 'rekam', 'jejaknya', 'mungkin', 'beliau', 'bermaksud', 'kalau', 'mendukung', 'beliau', 'kelompok', 'radikal', 'seperti', 'hti', 'fpi', 'dan', 'ideologis', 'khilafah', 'bisa', 'di', 'bangkitkan', 'kembali', 'dan', 'akan', 'diperlihara', 'oleh', 'beliau', 'termasuk', 'pentolan', 'nya', 'seperti', 'habib', 'riziek', 'bahar', 'smith', 'dll', 'yg', 'akan', 'menjadi', 'kebal', 'hukum', 'kalau', 'anies', 'baswedan', 'seandainya', 'jadi', 'calon', 'presiden']",<FreqDist with 48 samples and 57 outcomes>,"['anies', 'baswedan', 'berpesan', 'pilih', 'pemimpin', 'liat', 'rekam', 'jejaknya', 'beliau', 'mendukung', 'beliau', 'kelompok', 'radikal', 'hti', 'fpi', 'ideologis', 'khilafah', 'bangkitkan', 'diperlihara', 'beliau', 'pentolan', 'habib', 'riziek', 'bahar', 'smith', 'dll', 'kebal', 'hukum', 'anies', 'baswedan', 'seandainya', 'calon', 'presiden']","['anies', 'baswedan', 'berpesan', 'pilih', 'pemimpin', 'lihat', 'rekam', 'jejaknya', 'beliau', 'mendukung', 'beliau', 'kelompok', 'radikal', 'hti', 'fpi', 'ideologis', 'khilafah', 'bangkitkan', 'diperlihara', 'beliau', 'pentolan', 'habib', 'riziek', 'bahar', 'smith', 'dll', 'kebal', 'hukum', 'anies', 'baswedan', 'seandainya', 'calon', 'presiden']","['anies', 'baswedan', 'pesan', 'pilih', 'pimpin', 'lihat', 'rekam', 'jejak', 'beliau', 'dukung', 'beliau', 'kelompok', 'radikal', 'hti', 'fpi', 'ideologis', 'khilafah', 'bangkit', 'diperlihara', 'beliau', 'pentol', 'habib', 'riziek', 'bahar', 'smith', 'dll', 'kebal', 'hukum', 'anies', 'baswedan', 'anda', 'calon', 'presiden']",anies baswedan pesan pilih pimpin lihat rekam jejak beliau dukung beliau kelompok radikal hti fpi ideologis khilafah bangkit diperlihara beliau pentol habib riziek bahar smith dll kebal hukum anies baswedan anda calon presiden
116,pantas sih emang gak ada alasan kuat milih ini,"['pantas', 'sih', 'emang', 'gak', 'ada', 'alasan', 'kuat', 'milih', 'ini']",<FreqDist with 9 samples and 9 outcomes>,"['emang', 'alasan', 'kuat', 'milih']","['emang', 'alasan', 'kuat', 'milih']","['emang', 'alas', 'kuat', 'milih']",emang alas kuat milih
117,kenapa ganjar ga turun,"['kenapa', 'ganjar', 'ga', 'turun']",<FreqDist with 4 samples and 4 outcomes>,"['ganjar', 'turun']","['ganjar', 'turun']","['ganjar', 'turun']",ganjar turun
118,terlalu ngebet,"['terlalu', 'ngebet']",<FreqDist with 2 samples and 2 outcomes>,['ngebet'],['ngebet'],['ngebet'],ngebet
